Cooresponding CSE,Legitimate Domains,ip_address,url_length,num_dots,has_repeated_digits,num_special_chars,num_hyphens,num_slashes,num_underscores,num_question_marks,num_equal_signs,num_dollar_signs,num_exclamations,num_hashtags,num_percent,domain_length,num_hyphens_domain,has_special_chars_domain,num_special_chars_domain,num_subdomains,avg_subdomain_length,subdomain_length,subdomain_has_hyphen,subdomain_has_repeated_digits,path_length,has_query,has_fragment,has_anchor,entropy_url,entropy_domain,ssl_present,ssl_valid,ssl_days_to_expiry,ssl_issuer,ocr_text,screenshot_path,visual_hash,url,asn,asn_org,country,region,city,favicon_detected,favicon_url,favicon_size,favicon_hash,favicon_colors
Air India,airindia.cloud,84.32.84.32,23,1,False,4,0,2,0,0,0,0,0,0,0,15,0,False,0,0,0.0,0,False,False,0,False,False,False,3.323231428797621,3.323231428797621,0,0,-1,,,,,airindialtd.com,47583.0,Hostinger International Limited,LT,Vilnius City Municipality,Vilnius,False,,-1,,[]
Air India,airindia.cloud,,26,1,False,5,1,2,0,0,0,0,0,0,0,18,1,False,0,0,0.0,0,False,False,0,False,False,False,3.794653473544342,3.794653473544342,0,0,-1,,,,,airindia-lfhck.top,,,,,,False,,-1,,[]
"Civil Registration System, MHA",crsorgi-gvo.in,,23,1,False,5,1,2,0,0,0,0,0,0,0,15,1,False,0,0,0.0,0,False,False,0,False,False,False,3.373557262275185,3.373557262275185,0,0,-1,,,,,crsorgi-gvot.in,,,,,,False,,-1,,[]
"Civil Registration System, MHA",dc-crsorgii-gov.xyz,,20,1,False,4,0,2,0,0,0,0,0,0,0,12,0,False,0,0,0.0,0,False,False,0,False,False,False,3.084962500721156,3.084962500721156,0,0,-1,,,,,dccrsorgi.in,,,,,,False,,-1,,[]
Air India,airindia.cloud,,26,1,False,5,1,2,0,0,0,0,0,0,0,18,1,False,0,0,0.0,0,False,False,0,False,False,False,3.5724312513221195,3.5724312513221195,0,0,-1,,,,,airindia-pjsko.top,,,,,,False,,-1,,[]
"Civil Registration System, MHA",crsorgi-gvo.in,,22,1,False,5,1,2,0,0,0,0,0,0,0,15,1,False,0,0,0.0,0,False,False,0,False,False,False,3.788754913993503,3.1898980954642875,0,0,-1,,,,,http://crsorgi-gov.sbs,,,,,,False,,-1,,[]
"Civil Registration System, MHA",crsorgi-gvo.in,103.224.212.211,19,1,False,4,0,2,0,0,0,0,0,0,0,11,0,False,0,0,0.0,0,False,False,0,False,False,False,2.6635327548042547,2.6635327548042547,1,1,31,Let's Encrypt,,,,crsorgi.org,133618.0,Trellian Pty. Limited,AU,,,False,,-1,,[]
Air India,airindia.cloud,,26,1,False,5,1,2,0,0,0,0,0,0,0,18,1,False,0,0,0.0,0,False,False,0,False,False,False,3.683542362433231,3.683542362433231,0,0,-1,,,,,airindia-udxmv.top,,,,,,False,,-1,,[]
Air India,airindia.cloud,,26,1,False,5,1,2,0,0,0,0,0,0,0,18,1,False,0,0,0.0,0,False,False,0,False,False,False,3.5724312513221195,3.5724312513221195,0,0,-1,,,,,airindia-smotq.top,,,,,,False,,-1,,[]
Air India,airindialtd.com,76.223.67.189,22,1,False,4,0,2,0,0,0,0,0,0,0,14,0,False,0,0,0.0,0,False,False,0,False,False,False,3.1820058147602133,3.1820058147602133,1,1,167,"GoDaddy.com, Inc.",,,,airindia.cloud,16509.0,AMAZON-02,US,,,False,,-1,,[]
"Civil Registration System, MHA",dccrsorgi.in,,27,1,False,6,2,2,0,0,0,0,0,0,0,19,2,False,0,0,0.0,0,False,False,0,False,False,False,3.616348566075165,3.616348566075165,0,0,-1,,,,,dc-crsorgii-gov.xyz,,,,,,False,,-1,,[]
"Civil Registration System, MHA",crsorgi-gvot.in,,22,1,False,5,1,2,0,0,0,0,0,0,0,14,1,False,0,0,0.0,0,False,False,0,False,False,False,3.235926350629033,3.235926350629033,0,0,-1,,,,,crsorgi-gvo.in,,,,,,False,,-1,,[]
