Application_ID,Source of detection,Identified Phishing/Suspected Domain Name,Corresponding CSE Domain Name,Critical Sector Entity Name,Phishing/Suspected Domains (i.e. Class Label),Domain Registration Date,Registrar Name,Registrant Name or Registrant Organisation,Registrant Country,Name Servers,Hosting IP,Hosting ISP,Hosting Country,DNS Records (if any),Evidence file name,Date of detection (DD-MM-YYYY),Time of detection (HH-MM-SS),Date of Post (If detection is from Source: social media),Remarks
ISS_NLP,Government,http://particularhands.com,parivahan.gov.in,parivahan sewa,Legitimate,2026-02-22T18:29:37Z,IONOS SE,NA,NA,NS1031.UI-DNS.BIZ;NS1049.UI-DNS.COM;NS1103.UI-DNS.ORG;NS1109.UI-DNS.DE,74.208.236.68,IONOS SE,US,A:74.208.236.68;NS:ns1103.ui-dns.org.;NS:ns1031.ui-dns.biz.;NS:ns1109.ui-dns.de.;NS:ns1049.ui-dns.com.;MX:10 mx00.ionos.com.;MX:10 mx01.ionos.com.,NA,07-04-2026,01:12:37,NA,non_aligned_or_weak_cse_similarity; NA values are due to privacy issues.
ISS_NLP,Banking/Financial,https://indusinspection360.co.uk,indusind.bank.in,IndusInd Bank,Legitimate,2026-02-20T17:01:06.84367Z,"Namecheap, Inc.",,NA,dns1.namecheaphosting.com.;dns2.namecheaphosting.com.,68.65.122.84,NAMECHEAP-NET,US,A:68.65.122.84;NS:dns2.namecheaphosting.com.;NS:dns1.namecheaphosting.com.;MX:5 mx1-hosting.jellyfish.systems.;MX:10 mx2-hosting.jellyfish.systems.;MX:20 mx3-hosting.jellyfish.systems.,NA,07-04-2026,01:12:38,NA,non_aligned_or_weak_cse_similarity; NA values are due to privacy issues.
ISS_NLP,Government,https://ecithi.com,eci.gov.in,Election Commision of India (ECI),Legitimate,2026-02-22T21:08:37Z,"NameCheap, Inc.",NA,NA,BDNS1.EXONHOST.COM;BDNS2.EXONHOST.COM,103.159.37.38,EXONHOST,BD,A:103.159.37.38;NS:bdns2.exonhost.com.;NS:bdns1.exonhost.com.;MX:0 ecithi.com.,NA,07-04-2026,01:12:41,NA,non_aligned_or_weak_cse_similarity; NA values are due to privacy issues.
ISS_NLP,Banking/Financial,https://netprobio.com,netpnb.com,Punjab National Bank (PNB),Legitimate,2026-02-22T13:19:26Z,One.com A/S,NA,NA,NS01.ONE.COM;NS02.ONE.COM,46.30.211.38,One.com A/S,DK,A:46.30.211.38;NS:ns02.one.com.;NS:ns01.one.com.;MX:0 .,NA,07-04-2026,01:12:42,NA,non_aligned_or_weak_cse_similarity; NA values are due to privacy issues.
ISS_NLP,Banking/Financial,https://carshlife.store,canarahsbclife.com,Canara Bank,Legitimate,NA,NA,NA,NA,NA,45.130.41.76,Beget LLC,RU,A:45.130.41.76;NS:ns2.beget.pro.;NS:ns1.beget.pro.;NS:ns2.beget.com.;NS:ns1.beget.com.;MX:10 mx1.beget.com.;MX:20 mx2.beget.com.,NA,07-04-2026,01:12:45,NA,non_aligned_or_weak_cse_similarity; NA values are due to privacy issues.
ISS_NLP,Unknown,https://casinonye.com,camsonline.com,Computer Age Management Services Ltd. (CAMS),Legitimate,2026-02-22T17:14:18Z,Dynadot Inc,NA,NA,INGRID.NS.CLOUDFLARE.COM;RICK.NS.CLOUDFLARE.COM,172.67.194.58,CLOUDFLARENET,NA,A:172.67.194.58;A:104.21.57.241;NS:rick.ns.cloudflare.com.;NS:ingrid.ns.cloudflare.com.,NA,07-04-2026,01:12:46,NA,non_aligned_or_weak_cse_similarity; NA values are due to privacy issues.
ISS_NLP,Telecom,https://myvitaminstrips.com,myvi.in,Vodafone Idea (VI),Legitimate,2026-02-22T09:02:26Z,IONOS SE,NA,NA,NS1036.UI-DNS.COM;NS1076.UI-DNS.BIZ;NS1107.UI-DNS.DE;NS1118.UI-DNS.ORG,75.2.60.5,AMAZON-02,US,A:75.2.60.5;NS:ns1118.ui-dns.org.;NS:ns1107.ui-dns.de.;NS:ns1076.ui-dns.biz.;NS:ns1036.ui-dns.com.;MX:10 mx01.ionos.com.;MX:10 mx00.ionos.com.,NA,07-04-2026,01:12:46,NA,non_aligned_or_weak_cse_similarity; NA values are due to privacy issues.
ISS_NLP,Government,https://uidaiaadhardownload.com,uidai.gov.in,"Unique Identification Authority of India (UIDAI)
",Phishing,2026-02-22T14:32:02Z,"HOSTINGER operations, UAB",NA,NA,NS1.DNS-PARKING.COM;NS2.DNS-PARKING.COM,93.127.173.204,Hostinger International Limited,IN,A:93.127.173.204;A:147.79.69.47;NS:ns2.dns-parking.com.;NS:ns1.dns-parking.com.,PS-02_ISS_NLP_Evidences\UIDAI_uidaiaadhardownload.com_1.pdf,07-04-2026,01:12:47,NA,weak_or_single_signal_match; NA values are due to privacy issues.
ISS_NLP,Unknown,https://jiso99.com,jio.com,Jio,Legitimate,2026-02-22T13:26:59Z,"NameSilo, LLC",NA,NA,NS1.DNSOWL.COM;NS2.DNSOWL.COM;NS3.DNSOWL.COM,91.195.240.123,SEDO GmbH,DE,A:91.195.240.123;NS:ns1.dnsowl.com.;NS:ns2.dnsowl.com.;NS:ns3.dnsowl.com.,NA,07-04-2026,01:12:47,NA,non_aligned_or_weak_cse_similarity; NA values are due to privacy issues.
ISS_NLP,Unknown,https://jiso88.org,jio.com,Jio,Legitimate,2026-02-22T13:26:59.555Z,"NameSilo, LLC",NA,NA,ns1.dnsowl.com;ns2.dnsowl.com;ns3.dnsowl.com,91.195.240.123,SEDO GmbH,DE,A:91.195.240.123;NS:ns1.dnsowl.com.;NS:ns2.dnsowl.com.;NS:ns3.dnsowl.com.,NA,07-04-2026,01:12:48,NA,non_aligned_or_weak_cse_similarity; NA values are due to privacy issues.
