input_position,input_url,normalized_url,source_workbook,best_entity,best_matching_domain,lexical_score,lexical_hit,strict_lexical_hit,lexical_score_pass,fallback_rank_only,brand_score,credential_score,infra_score,evasion_score,total_stage1_score,hard_trigger_hit,stage1_reasons,page_has_password_field,page_has_login_form,form_action_mismatch,csc_mention_count,redirect_count,final_domain,favicon_domain,html_bytes_read,escalate_to_hashing,escalate_reason,deep_analysis_candidate,deep_analysis_dns_accepted,deep_analysis_attempted,dns_status,dns_decision,fetch_status,visual_status,fetch_error_type,fetch_error_detail,final_landing_url,parking_provider,parking_reason,confidence_band,best_score,admitted,admitted_to_holdout,kept_for_review_only,review_only_reason,survival_path,drop_path,reason,exclusion_stage
1,domain,https://domain,urls.xlsx,National Informatics Centre (NIC),kavach.mail.gov.in,0.75,False,False,False,True,0,0,0,0,0,False,stage1_fetch_failed,False,False,False,0,0,,,0,False,stage1_fetch_failed,False,False,False,skipped,skipped,failed,not_attempted,get_error,[Errno -3] Temporary failure in name resolution,,,,,0.0,False,False,False,,,stage1_fetch_failed,stage1_fetch_failed,stage1_http
2,jardines10.com,https://jardines10.com,urls.xlsx|123456.xlsx,Airtel,airtel.in,0.7111,False,False,False,True,0,0,0,6,6,False,js_redirect,False,False,False,0,0,jardines10.com,,114,False,stage1_low_suspicion,False,False,False,skipped,skipped,fetched,not_attempted,,,https://jardines10.com,,,,0.0,False,False,False,,,stage1_low_suspicion,stage1_low_suspicion,stage1_http
3,connectionsarchive.net,https://connectionsarchive.net,urls.xlsx|123456.xlsx,Coal India,coalindiatenders.nic.in,0.6944,False,False,False,True,0,4,0,0,4,False,auth_wording,False,False,False,0,0,connectionsarchive.net,connectionsarchive.net,32768,False,stage1_low_suspicion,False,False,False,skipped,skipped,fetched,not_attempted,,,https://connectionsarchive.net,,,,0.0,False,False,False,,,stage1_low_suspicion,stage1_low_suspicion,stage1_http
4,web365daftar.com,https://web365daftar.com,urls.xlsx|123456.xlsx,Election Commision of India (ECI),eci.gov.in,0.6442,False,False,False,True,8,0,0,0,8,False,meta_brand_match,False,False,False,1,0,web365daftar.com,bannerpenyimpanan.club,32768,False,stage1_low_suspicion,False,False,False,skipped,skipped,fetched,not_attempted,,,https://web365daftar.com,,,,0.0,False,False,False,,,stage1_low_suspicion,stage1_low_suspicion,stage1_http
5,conciergerie-niort.fr,https://conciergerie-niort.fr,urls.xlsx|123456.xlsx,"Civil Registration System, MHA (RGCCI)",crsorgi.gov.in,0.6746,False,False,False,True,0,0,6,6,12,False,suspicious_hosting_provider|js_redirect,False,False,False,0,0,conciergerie-niort.fr,assets.zyrosite.com,32768,False,stage1_low_suspicion,False,False,False,skipped,skipped,fetched,not_attempted,,,https://conciergerie-niort.fr,,,,0.0,False,False,False,,,stage1_low_suspicion,stage1_low_suspicion,stage1_http
6,nmjiaojinginc.shop,https://nmjiaojinginc.shop,urls.xlsx|123456.xlsx,Jio,jio.com,0.7436,False,False,False,True,0,0,0,0,0,False,,False,False,False,0,0,nmjiaojinginc.shop,,1068,False,stage1_low_suspicion,False,False,False,skipped,skipped,fetched,not_attempted,,,https://nmjiaojinginc.shop,,,,0.0,False,False,False,,,stage1_low_suspicion,stage1_low_suspicion,stage1_http
7,ventajp.com,https://ventajp.com,urls.xlsx|123456.xlsx,National Health Authority (NHA),nha.gov.in,0.6508,False,False,False,True,0,0,0,6,6,False,js_redirect,False,False,False,0,0,ventajp.com,,114,False,stage1_low_suspicion,False,False,False,skipped,skipped,fetched,not_attempted,,,https://ventajp.com,,,,0.0,False,False,False,,,stage1_low_suspicion,stage1_low_suspicion,stage1_http
8,snackduel.com,https://snackduel.com,urls.xlsx|123456.xlsx,National Health Authority (NHA),nha.gov.in,0.6296,False,False,False,True,0,0,0,0,0,False,stage1_fetch_failed,False,False,False,0,0,,,0,False,stage1_fetch_failed,False,False,False,skipped,skipped,failed,not_attempted,get_error,[Errno -5] No address associated with hostname,,,,,0.0,False,False,False,,,stage1_fetch_failed,stage1_fetch_failed,stage1_http
9,calmplatewindow.club,https://calmplatewindow.club,urls.xlsx|123456.xlsx,Indian Space Research Organisation (ISRO),indiascienceandtechnology.gov.in,0.6599,False,False,False,True,4,4,0,0,8,False,body_brand_match|auth_wording,False,False,False,1,0,calmplatewindow.club,calmplatewindow.club,18105,False,stage1_low_suspicion,False,False,False,skipped,skipped,fetched,not_attempted,,,https://calmplatewindow.club,,,,0.0,False,False,False,,,stage1_low_suspicion,stage1_low_suspicion,stage1_http
10,tuterrenoenchile.cl,https://tuterrenoenchile.cl,urls.xlsx|123456.xlsx,Indian Railway Catering and Tourism Corporation (IRCTC),irctctourism.com,0.5972,False,False,False,True,0,0,0,0,0,False,,False,False,False,0,1,www.tuterrenoenchile.cl,www.tuterrenoenchile.cl,32768,False,stage1_low_suspicion,False,False,False,skipped,skipped,fetched,not_attempted,,,https://www.tuterrenoenchile.cl/,,,,0.0,False,False,False,,,stage1_low_suspicion,stage1_low_suspicion,stage1_http
